ZipCode,Cases,"Crude Rate per 100,000",Total Residents Tested,Two-Week Total Cases,Two-Week Total Tested
64101,55,Not Calculated,573,9,17
64102,67,Not Calculated,1197,11,40
64105,1023,21863.64608,14572,192,483
64106,1360,14582.88655,19117,199,699
64108,1881,24118.47673,24718,379,935
64109,1598,16564.73515,18461,274,794
64110,2244,13064.7415,33522,411,1264
64111,2689,15105.89293,42985,463,1671
64112,1121,13421.93487,20198,179,645
64113,1474,12295.62896,25829,234,1032
64114,3148,12898.99611,49880,496,1746
64116,2018,18950.13616,27484,266,857
64117,2142,15245.5516,25348,248,782
64118,3831,17586.30187,48341,520,1822
64119,3307,18982.83681,42290,423,1540
64120,125,Not Calculated,1615,22,44
64123,1845,19258.87265,15821,191,609
64124,2050,19292.3019,16028,223,609
64125,366,26349.89201,2281,36,89
64126,1104,19640.63334,7744,129,305
64127,3016,19512.19512,25434,380,1049
64128,2175,19114.15766,20005,400,1019
64129,1445,17004.00094,37815,209,534
64130,3628,18143.62873,43913,576,1396
64131,3311,14438.33944,45221,585,1571
64132,2354,15887.15664,30143,397,984
64133,2766,16950.60669,28883,386,1070
64134,3563,14924.18531,36614,569,1367
64136,332,14954.95495,3831,46,140
64137,1526,14334.02217,16027,211,572
64138,2056,15231.88621,22827,305,794
64139,499,24001.924,10952,78,278
64145,755,14383.69213,11478,97,504
64146,160,Not Calculated,2153,23,84
64147,54,Not Calculated,499,8,26
64149,57,Not Calculated,601,*SUPP,16
64151,3169,14693.74507,42487,435,1539
64152,1255,13451.23258,22841,173,806
64153,782,16217.3372,10049,108,382
64154,1960,17989.90363,35419,221,970
64155,4208,18361.91474,50211,482,1938
64156,1181,Not Calculated,13506,135,495
64157,3418,17160.35747,37899,399,1297
64158,927,18389.20849,10846,96,331
64161,30,Not Calculated,290,*SUPP,10
64163,61,Not Calculated,1092,10,46
64164,20,Not Calculated,356,*SUPP,12
64165,32,Not Calculated,388,*SUPP,15
64166,35,Not Calculated,397,*SUPP,11
64167,30,Not Calculated,482,*SUPP,12
